,Network,Name,Slat,Slon,Selv,Quake#,Mag,Qlat,Qlon,Qdep,OrgT,rhyp,Parr,Sarr
0,HT,AGG,39.0211,22.336,625.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,170.392321917,2020-03-09T22:19:58.146400Z,2020-03-09T22:20:08.964960Z
1,HT,AGG,39.0211,22.336,625.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,160.88363992,2020-04-06T02:31:49.537086Z,2020-04-06T02:31:59.751920Z
2,HT,AGG,39.0211,22.336,625.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,153.375077064,2020-08-08T08:14:32.845250Z,2020-08-08T08:14:42.583350Z
3,HT,AGG,39.0211,22.336,625.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,176.507235135,2020-08-09T06:11:44.617021Z,2020-08-09T06:11:55.823830Z
4,HT,AGG,39.0211,22.336,625.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,208.547527924,2020-09-18T22:17:47.302782Z,2020-09-18T22:18:00.543895Z
5,HT,ALN,40.885,26.046,110.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,536.937212744,2020-03-09T22:20:56.328129Z,2020-03-09T22:21:30.419381Z
6,HT,ALN,40.885,26.046,110.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,523.920428899,2020-04-06T02:32:47.161973Z,2020-04-06T02:33:20.426762Z
7,HT,ALN,40.885,26.046,110.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,524.672522118,2020-08-08T08:15:31.781353Z,2020-08-08T08:16:05.093894Z
8,HT,ALN,40.885,26.046,110.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,548.456414443,2020-08-09T06:12:43.656574Z,2020-08-09T06:13:18.479203Z
9,HT,ALN,40.885,26.046,110.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,570.84211859,2020-09-18T22:18:44.809860Z,2020-09-18T22:19:21.053804Z
10,HP,AMPL,38.9224,21.2135,260.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,138.220921316,2020-03-09T22:19:53.039829Z,2020-03-09T22:20:01.815760Z
11,HP,AMPL,38.9224,21.2135,260.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,137.688692228,2020-04-06T02:31:45.855348Z,2020-04-06T02:31:54.597487Z
12,HP,AMPL,38.9224,21.2135,260.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,116.054408128,2020-08-08T08:14:26.921335Z,2020-08-08T08:14:34.289868Z
13,HP,AMPL,38.9224,21.2135,260.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,131.42042112,2020-08-09T06:11:37.460384Z,2020-08-09T06:11:45.804538Z
14,HP,AMPL,38.9224,21.2135,260.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,174.733734211,2020-09-18T22:17:41.935513Z,2020-09-18T22:17:53.029719Z
15,HP,AMT,37.5324,21.7089,482.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,33.6817253396,2020-03-09T22:19:36.446306Z,2020-03-09T22:19:38.584828Z
16,HP,AMT,37.5324,21.7089,482.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,24.2693398398,2020-04-06T02:31:27.852276Z,2020-04-06T02:31:29.393187Z
17,HP,AMT,37.5324,21.7089,482.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,50.5120535147,2020-08-08T08:14:16.517786Z,2020-08-08T08:14:19.724901Z
18,HP,AMT,37.5324,21.7089,482.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,55.2855178229,2020-08-09T06:11:25.375479Z,2020-08-09T06:11:28.885671Z
19,HP,AMT,37.5324,21.7089,482.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,45.3194572647,2020-09-18T22:17:21.393565Z,2020-09-18T22:17:24.270991Z
20,HL,ANKY,35.86704,23.30117,143.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,257.466348288,2020-04-06T02:32:04.867674Z,2020-04-06T02:32:21.214744Z
21,HL,ANKY,35.86704,23.30117,143.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,283.719887803,2020-08-08T08:14:53.534903Z,2020-08-08T08:15:11.548864Z
22,HL,ANKY,35.86704,23.30117,143.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,283.548890207,2020-08-09T06:12:01.607760Z,2020-08-09T06:12:19.610864Z
23,HL,ANKY,35.86704,23.30117,143.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,246.254363324,2020-09-18T22:17:53.287994Z,2020-09-18T22:18:08.923192Z
24,HP,ANX,38.5933,21.9209,1020.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,111.575778974,2020-03-09T22:19:48.810441Z,2020-03-09T22:19:55.894618Z
25,HP,ANX,38.5933,21.9209,1020.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,103.245360357,2020-04-06T02:31:40.388152Z,2020-04-06T02:31:46.943413Z
26,HP,ANX,38.5933,21.9209,1020.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,93.8504468656,2020-08-08T08:14:23.396896Z,2020-08-08T08:14:29.355655Z
27,HP,ANX,38.5933,21.9209,1020.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,116.889221154,2020-08-09T06:11:35.153845Z,2020-08-09T06:11:42.575382Z
28,HP,ANX,38.5933,21.9209,1020.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,150.161677121,2020-09-18T22:17:38.035187Z,2020-09-18T22:17:47.569262Z
29,HT,AOS2,39.1478,23.8436,185.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,269.705452401,2020-03-09T22:20:13.910389Z,2020-03-09T22:20:31.034545Z
30,HT,AOS2,39.1478,23.8436,185.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,256.053251147,2020-04-06T02:32:04.643373Z,2020-04-06T02:32:20.900722Z
31,HT,AOS2,39.1478,23.8436,185.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,259.511463346,2020-08-08T08:14:49.692296Z,2020-08-08T08:15:06.169214Z
32,HT,AOS2,39.1478,23.8436,185.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,283.092194989,2020-08-09T06:12:01.535269Z,2020-08-09T06:12:19.509377Z
33,HL,APE,37.07274,25.52301,608.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,373.25687442,2020-03-09T22:20:30.347123Z,2020-03-09T22:20:54.045972Z
34,HL,APE,37.07274,25.52301,608.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,358.87006241,2020-04-06T02:32:20.963502Z,2020-04-06T02:32:43.748903Z
35,HL,APE,37.07274,25.52301,608.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,380.536330517,2020-08-08T08:15:08.902592Z,2020-08-08T08:15:33.063629Z
36,HL,APE,37.07274,25.52301,608.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,395.058146411,2020-08-09T06:12:19.307642Z,2020-08-09T06:12:44.390699Z
37,HL,APE,37.07274,25.52301,608.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,380.345882281,2020-09-18T22:18:14.572362Z,2020-09-18T22:18:38.721307Z
38,HL,ARG,36.21356,28.12122,148.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,622.193965199,2020-03-09T22:21:09.860947Z,2020-03-09T22:21:49.365326Z
39,HL,ARG,36.21356,28.12122,148.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,608.202196563,2020-04-06T02:33:00.540031Z,2020-04-06T02:33:39.156044Z
40,HL,ARG,36.21356,28.12122,148.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,630.663070672,2020-08-08T08:15:48.605249Z,2020-08-08T08:16:28.647349Z
41,HL,ARG,36.21356,28.12122,148.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,644.126432785,2020-08-09T06:12:58.842291Z,2020-08-09T06:13:39.739207Z
42,HL,ARG,36.21356,28.12122,148.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,625.861642855,2020-09-18T22:18:53.543118Z,2020-09-18T22:19:33.280365Z
43,HA,ATAL,38.6926,23.0213,290.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,182.332795748,2020-03-09T22:20:00.041714Z,2020-03-09T22:20:11.618399Z
44,HA,ATAL,38.6926,23.0213,290.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,168.805263275,2020-04-06T02:31:50.794486Z,2020-04-06T02:32:01.512281Z
45,HA,ATAL,38.6926,23.0213,290.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,172.297939441,2020-08-08T08:14:35.848879Z,2020-08-08T08:14:46.788431Z
46,HA,ATAL,38.6926,23.0213,290.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,195.801946678,2020-08-09T06:11:47.679674Z,2020-08-09T06:12:00.111544Z
47,HL,ATH,37.97384,23.71767,93.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,208.423189744,2020-03-09T22:20:04.183046Z,2020-03-09T22:20:17.416264Z
48,HL,ATH,37.97384,23.71767,93.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,193.044617364,2020-04-06T02:31:54.642003Z,2020-04-06T02:32:06.898804Z
49,HL,ATH,37.97384,23.71767,93.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,209.118088518,2020-08-08T08:14:41.693347Z,2020-08-08T08:14:54.970686Z
50,HL,ATH,37.97384,23.71767,93.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,228.359841718,2020-08-09T06:11:52.847594Z,2020-08-09T06:12:07.346631Z
51,HL,ATH,37.97384,23.71767,93.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,228.377873532,2020-09-18T22:17:50.450456Z,2020-09-18T22:18:04.950639Z
52,HA,ATHU,37.9665,23.7845,308.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,214.127381596,2020-03-09T22:20:05.088473Z,2020-03-09T22:20:18.683863Z
53,HA,ATHU,37.9665,23.7845,308.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,198.752705545,2020-04-06T02:31:55.548048Z,2020-04-06T02:32:08.167268Z
54,HA,ATHU,37.9665,23.7845,308.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,214.960085813,2020-08-08T08:14:42.620649Z,2020-08-08T08:14:56.268908Z
55,HA,ATHU,37.9665,23.7845,308.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,234.126081462,2020-08-09T06:11:53.762870Z,2020-08-09T06:12:08.628018Z
56,HA,ATHU,37.9665,23.7845,308.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,233.772427512,2020-09-18T22:17:51.306735Z,2020-09-18T22:18:06.149428Z
57,HA,AXAR,38.7664,22.659,406.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,164.335638638,2020-03-09T22:19:57.185022Z,2020-03-09T22:20:07.619031Z
58,HA,AXAR,38.7664,22.659,406.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,152.202232839,2020-04-06T02:31:48.159085Z,2020-04-06T02:31:57.822718Z
59,HA,AXAR,38.7664,22.659,406.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,151.346966316,2020-08-08T08:14:32.523328Z,2020-08-08T08:14:42.132659Z
60,HA,AXAR,38.7664,22.659,406.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,175.130656832,2020-08-09T06:11:44.398517Z,2020-08-09T06:11:55.517924Z
61,HA,AXAR,38.7664,22.659,406.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,200.054955508,2020-09-18T22:17:45.954755Z,2020-09-18T22:17:58.656657Z
62,HP,AXS,38.1962,21.3763,102.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,56.8522756811,2020-03-09T22:19:40.124171Z,2020-03-09T22:19:43.733839Z
63,HP,AXS,38.1962,21.3763,102.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,56.0127173728,2020-04-06T02:31:32.890908Z,2020-04-06T02:31:36.447271Z
